Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,CasosTotais,ObitosTotais
Brasil,RO,Estado,2020-02-25,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-02-26,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-02-27,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-02-28,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-02-29,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-01,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-02,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-03,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-04,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-05,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-06,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-07,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-08,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-09,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-10,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-11,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-12,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-13,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-14,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-15,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-16,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-17,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-18,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-19,,,,,,,0.0,0.0
Brasil,RO,Estado,2020-03-20,,,,,,,1.0,0.0
Brasil,RO,Estado,2020-03-21,,,,,,,1.0,0.0
Brasil,RO,Estado,2020-03-22,,,,,,,3.0,0.0
Brasil,RO,Estado,2020-03-23,,,,,,,3.0,0.0
Brasil,RO,Estado,2020-03-24,,,,,,,3.0,0.0
Brasil,RO,Estado,2020-03-25,,,,,,,5.0,0.0
Brasil,RO,Estado,2020-03-26,,,,,,,5.0,0.0
Brasil,RO,Estado,2020-03-27,,,,,,,6.0,0.0
Brasil,RO,Estado,2020-03-28,,,,,,,6.0,0.0
Brasil,RO,Estado,2020-03-29,,,,,,,6.0,0.0
Brasil,RO,Estado,2020-03-30,,,,,,,6.0,0.0
Brasil,RO,Estado,2020-03-31,,,,,,,8.0,1.0
Brasil,RO,Estado,2020-04-01,,,,,,,9.0,1.0
Brasil,RO,Estado,2020-04-02,,,,,,,10.0,1.0
Brasil,RO,Estado,2020-04-03,,,,,,,10.0,1.0
Brasil,RO,Estado,2020-04-04,,,,,,,11.0,1.0
Brasil,RO,Estado,2020-04-05,,,,,,,12.0,1.0
Brasil,RO,Estado,2020-04-06,,,,,,,14.0,1.0
Brasil,RO,Estado,2020-04-07,,,,,,,18.0,1.0
Brasil,RO,Estado,2020-04-08,,,,,,,18.0,1.0
Brasil,RO,Estado,2020-04-09,,,,,,,28.0,2.0
Brasil,RO,Estado,2020-04-10,,,,,,,32.0,2.0
Brasil,RO,Estado,2020-04-11,,,,,,,33.0,2.0
Brasil,RO,Estado,2020-04-12,,,,,,,35.0,2.0
Brasil,RO,Estado,2020-04-13,,,,,,,42.0,2.0
Brasil,RO,Estado,2020-04-14,,,,,,,64.0,2.0
Brasil,RO,Estado,2020-04-15,,,,,,,69.0,2.0
Brasil,RO,Estado,2020-04-16,,,,,,,76.0,3.0
Brasil,RO,Estado,2020-04-17,,,,,,,92.0,3.0
Brasil,RO,Estado,2020-04-18,110.0,92.0,14.0,14.0,3.0,3.0,110.0,3.0
Brasil,RO,Estado,2020-04-19,113.0,88.0,14.0,14.0,4.0,3.0,128.0,4.0
Brasil,RO,Estado,2020-04-20,116.0,85.0,13.0,15.0,4.0,3.0,160.0,4.0
Brasil,RO,Estado,2020-04-21,119.0,83.0,13.0,15.0,5.0,3.0,199.0,4.0
Brasil,RO,Estado,2020-04-22,123.0,81.0,13.0,16.0,5.0,3.0,223.0,5.0
Brasil,RO,Estado,2020-04-23,129.0,81.0,13.0,17.0,5.0,3.0,250.0,5.0
Brasil,RO,Estado,2020-04-24,135.0,82.0,14.0,18.0,5.0,3.0,290.0,5.0
